,title,company,date,location,postcode,min_salary,max_salary
0,Data Engineer,Hunter Selection Limited,16 December 2025,Birmingham,B4 7AE,50000.0,65000.0
1,Data Engineer,NHS Jobs,03 December 2025,Preston,PR2 9WT,,
2,Data Engineer,Government Recruitment Service,09 December 2025,RG1 7EB,RG1 7EB,57353.0,57353.0
3,Data Engineer,Ecruit,18 November 2025,London,,50000.0,60000.0
4,Data Engineer,Co-op Group,09 December 2025,Manchester,M60 0AG,45000.0,55000.0
5,Data Engineer,Government Recruitment Service,11 December 2025,Glasgow,,69308.0,69308.0
6,Data Engineer,Government Recruitment Service,11 December 2025,Manchester,,69308.0,69308.0
7,Data Engineer,Government Recruitment Service,11 December 2025,Newcastle Upon Tyne,,69308.0,69308.0
8,Data Engineer,Government Recruitment Service,11 December 2025,York,,69308.0,69308.0
9,Data Engineer,The Big Life Group,25 November 2025,Manchester,M15 4ZY,,
