title,date,company,location,salary
Data Engineer,16 December 2025,Hunter Selection Limited,"Birmingham, West Midlands, B4 7AE","£50,000 to £65,000 per year"
Data Engineer,03 December 2025,NHS Jobs,"Preston, PR2 9WT",Negotiable
Data Engineer,09 December 2025,Government Recruitment Service,RG1 7EB,"£57,353 per year"
Data Engineer,18 November 2025,Ecruit,London,"£50,000 to £60,000 per year"
Data Engineer,09 December 2025,Co-op Group,"Manchester, Greater Manchester, M60 0AG","£45,000 to £55,000 per year"
Data Engineer,11 December 2025,Government Recruitment Service,Glasgow,"£69,308 per year"
Data Engineer,11 December 2025,Government Recruitment Service,"Manchester, Greater Manchester","£69,308 per year"
Data Engineer,11 December 2025,Government Recruitment Service,"Newcastle Upon Tyne, Tyne & Wear","£69,308 per year"
Data Engineer,11 December 2025,Government Recruitment Service,"York, North Yorkshire","£69,308 per year"
Data Engineer,25 November 2025,The Big Life Group,"Manchester, M15 4ZY",Competitive – to be negotiated
